"site_code","quadrat_num","PFT","weight_observed","cover_observed","cover_predicted","quad_label","weight_predicted_ci","weight_predicted","weight_predicted_lwr","weight_predicted_upr"
"AMSUMMIT","10m","DECIDUOUS SHRUBS",0,"0","2.43","AMSUMMIT 10m",0.960615866,1.55442198,1.11425342,2.074869268
"AMSUMMIT","10m","EVERGREEN SHRUBS",1.85,"0.01","0.74","AMSUMMIT 10m",0.200158746,0.47261335,0.377834028,0.577992775
"AMSUMMIT","10m","FORBS",1.86,"10","0.6","AMSUMMIT 10m",0.098447767,0.084484791,0.04243081,0.140878573
"AMSUMMIT","10m","GRAMINOIDS",21.53,"85","90.02","AMSUMMIT 10m",10.63282975,26.77278291,21.72612307,32.35895278
"AMSUMMIT","30m","DECIDUOUS SHRUBS",14.57,"0","1.63","AMSUMMIT 30m",0.274723778,0.625865538,0.496635319,0.771359088
"AMSUMMIT","30m","GRAMINOIDS",32.23,"92.51","89.1","AMSUMMIT 30m",7.121917059,18.06566659,14.73195907,21.85426
"AMSUMMIT","50m","DECIDUOUS SHRUBS",23.08,"30","21.4","AMSUMMIT 50m",2.936934711,3.85775636,2.521234063,5.472351865
"AMSUMMIT","50m","FORBS",0.72,"0.01","3.03","AMSUMMIT 50m",0.598786042,0.538638415,0.281551702,0.880337733
"AMSUMMIT","50m","GRAMINOIDS",2.75,"25","24.94","AMSUMMIT 50m",1.13953379,2.76069108,2.221457027,3.364961609
"AMSUMMIT","70m","DECIDUOUS SHRUBS",1.28,"0.01","13.08","AMSUMMIT 70m",11.32094557,15.23568575,10.13377674,21.76696533
"AMSUMMIT","70m","EVERGREEN SHRUBS",0,"0","0.25","AMSUMMIT 70m",0,0,0.090538912,0.194532409
"AMSUMMIT","70m","FORBS",8.69,"40","5.36","AMSUMMIT 70m",3.853197658,4.058737844,2.387252923,6.240450535
"AMSUMMIT","70m","GRAMINOIDS",32.91,"60","74.08","AMSUMMIT 70m",23.56329499,55.20289687,44.01384321,67.44128897
"AMSUMMIT","90m","DECIDUOUS SHRUBS",30.96,"25","43.95","AMSUMMIT 90m",47.79291278,63.81916901,42.17103168,89.77603188
"AMSUMMIT","90m","FORBS",5.02,"15","2.28","AMSUMMIT 90m",0.344445432,0.317776116,0.170007582,0.514453007
"AMSUMMIT","90m","GRAMINOIDS",21.16,"60","45.72","AMSUMMIT 90m",15.76658466,32.31598587,24.96586262,40.73045996
"AUFEIS","10m","DECIDUOUS SHRUBS",2.133,"10","1.82","AUFEIS 10m",0.701964766,1.478077973,0.989846238,2.312563441
"AUFEIS","10m","EVERGREEN SHRUBS",7.965,"4","20.3","AUFEIS 10m",6.410397938,8.526277859,5.68163781,11.73500646
"AUFEIS","10m","FORBS",6.762,"4","1.34","AUFEIS 10m",0.04890426,0.271671962,0.080999583,0.351074619
"AUFEIS","10m","GRAMINOIDS",9.32,"70","64.36","AUFEIS 10m",6.627111063,14.84809971,12.10321797,18.24493259
"AUFEIS","30m","DECIDUOUS SHRUBS",2.826,"9","1.62","AUFEIS 30m",0.264036905,0.392133059,0.45165809,0.489665103
"AUFEIS","30m","EVERGREEN SHRUBS",3.417,"4","16.31","AUFEIS 30m",3.712581336,4.663160616,2.970210415,7.030165363
"AUFEIS","30m","FORBS",3.388,"2","0.83","AUFEIS 30m",0.075338986,0.066227627,0.046240378,0.102138792
"AUFEIS","30m","GRAMINOIDS",11.074,"76","65.57","AUFEIS 30m",3.7867942,9.869927773,7.950365499,11.74388237
"AUFEIS","50m","DECIDUOUS SHRUBS",5.437,"12","1.41","AUFEIS 50m",0.253550683,0.525728874,0.554165727,0.651132708
"AUFEIS","50m","EVERGREEN SHRUBS",3.512,"6","17.74","AUFEIS 50m",4.830187649,5.67443738,3.473336991,7.961450385
"AUFEIS","50m","FORBS",7.319,"16.01","0.9","AUFEIS 50m",0.16364367,0.172914766,0.093321599,0.274594275
"AUFEIS","50m","GRAMINOIDS",6.176,"60","53.52","AUFEIS 50m",3.781635353,9.894274462,8.218529969,12.28428399
"AUFEIS","70m","DECIDUOUS SHRUBS",0.342,"2","0.83","AUFEIS 70m",0.039959663,0.088628195,0.058672989,0.112534793
"AUFEIS","70m","EVERGREEN SHRUBS",2.64,"8","22.06","AUFEIS 70m",4.051360562,4.950403472,3.193600728,7.043058514
"AUFEIS","70m","FORBS",4.222,"5","0.35","AUFEIS 70m",0,0.035286743,0.032173745,0.062465958
"AUFEIS","70m","GRAMINOIDS",8.227,"60","27.58","AUFEIS 70m",1.672698894,3.764676387,2.896026076,4.855217691
"AUFEIS","90m","DECIDUOUS SHRUBS",0,"5","2.82","AUFEIS 90m",1.379359947,2.733415888,2.242870324,3.633400758
"AUFEIS","90m","EVERGREEN SHRUBS",0.391,"2","3.77","AUFEIS 90m",0.333985305,0.534992313,0.378234435,0.72007263
"AUFEIS","90m","FORBS",3.59,"9","0.76","AUFEIS 90m",0.064898096,0.095647602,0.062543926,0.113350761
"AUFEIS","90m","GRAMINOIDS",6.564,"70","77.36","AUFEIS 90m",3.41458537,8.758031627,7.001802608,10.522558
"BABBAGE","10m","DECIDUOUS SHRUBS",10.748,"8","11.78","BABBAGE 10m",6.495056114,15.78472011,12.63967337,19.3539783
"BABBAGE","10m","EVERGREEN SHRUBS",44.531,"26","31.5","BABBAGE 10m",13.62728478,28.25832874,21.28822626,34.66935769
"BABBAGE","10m","FORBS",2.224,"4.02","3.86","BABBAGE 10m",1.741139191,2.565466028,1.796344878,3.754478471
"BABBAGE","10m","GRAMINOIDS",8.917,"50","49.04","BABBAGE 10m",5.393549614,12.44069423,10.93970708,15.6843102
"BABBAGE","30m","DECIDUOUS SHRUBS",85.356,"47.01","38.36","BABBAGE 30m",25.64400255,65.09424832,53.86391135,78.1617055
"BABBAGE","30m","EVERGREEN SHRUBS",7.447,"4","8.24","BABBAGE 30m",3.989206849,9.107953118,7.0717684,10.93824386
"BABBAGE","30m","FORBS",5.168,"20.03","19.58","BABBAGE 30m",12.55658831,12.56600911,6.550515302,20.27014187
"BABBAGE","30m","GRAMINOIDS",3.559,"6","19.99","BABBAGE 30m",1.819413813,4.429987886,3.765384174,5.841281752
"BABBAGE","50m","DECIDUOUS SHRUBS",42.486,"54","55.66","BABBAGE 50m",20.71446928,54.59985923,44.3478124,64.98336028
"BABBAGE","50m","EVERGREEN SHRUBS",54.124,"24","24.36","BABBAGE 50m",4.259570386,8.433108824,6.811506879,10.70327305
"BABBAGE","50m","FORBS",1.21,"0.02","3.5","BABBAGE 50m",0.887183344,1.423765548,0.795863044,2.011585085
"BABBAGE","50m","GRAMINOIDS",2.903,"18.01","9.12","BABBAGE 50m",0.817434974,2.118192222,1.774630001,2.804967111
"BABBAGE","70m","DECIDUOUS SHRUBS",53.906,"43.01","34.89","BABBAGE 70m",19.53870259,50.56003712,40.72865888,59.81730452
"BABBAGE","70m","EVERGREEN SHRUBS",30.496,"46","42.58","BABBAGE 70m",20.96861892,44.51852055,34.36972728,55.63629177
"BABBAGE","70m","FORBS",0.383,"0.03","2.03","BABBAGE 70m",1.129933905,1.339605212,1.149387391,2.361629076
"BABBAGE","70m","GRAMINOIDS",1,"2","1.83","BABBAGE 70m",0.335803354,0.752744111,0.53239764,0.822436512
"BABBAGE","90m","DECIDUOUS SHRUBS",64.697,"41","24.57","BABBAGE 90m",13.45457965,34.44295826,27.78854983,40.94932902
"BABBAGE","90m","EVERGREEN SHRUBS",23.166,"38.01","39.13","BABBAGE 90m",20.22768583,41.29991697,31.97492012,52.51852256
"BABBAGE","90m","FORBS",2.219,"3.04","2.36","BABBAGE 90m",1.053189911,2.490819434,1.565284327,2.988424215
"BABBAGE","90m","GRAMINOIDS",2.633,"8","24.25","BABBAGE 90m",5.423503207,12.69840418,10.47157173,15.80900772
"BLOWRIVER","10m","DECIDUOUS SHRUBS",6.137,"10","0.97","BLOWRIVER 10m",0.412620767,0.784913513,0.426243564,0.559733098
"BLOWRIVER","10m","EVERGREEN SHRUBS",23.209,"7","15.22","BLOWRIVER 10m",7.836855902,19.67164498,16.48617418,25.83628277
"BLOWRIVER","10m","FORBS",0.288,"1","0.47","BLOWRIVER 10m",0.111549489,0.190298159,0.151327146,0.346843446
"BLOWRIVER","10m","GRAMINOIDS",12.052,"57","62.53","BLOWRIVER 10m",6.38750175,16.23318984,12.70746305,17.92385415
"BLOWRIVER","30m","DECIDUOUS SHRUBS",23.795,"10","10.01","BLOWRIVER 30m",2.121379363,3.986337279,2.780750791,4.741523387
"BLOWRIVER","30m","EVERGREEN SHRUBS",12.166,"5","6.06","BLOWRIVER 30m",1.562981657,3.450865242,3.082346632,4.781129258
"BLOWRIVER","30m","FORBS",0.146,"0","2.87","BLOWRIVER 30m",1.718804472,1.465028476,0.804855755,2.711468417
"BLOWRIVER","30m","GRAMINOIDS",14.307,"77","65.42","BLOWRIVER 30m",5.941885984,14.47260034,11.4584706,17.21024745
"BLOWRIVER","50m","DECIDUOUS SHRUBS",262.538,"60","44.34","BLOWRIVER 50m",189.8063877,313.3115705,223.581279,414.5848808
"BLOWRIVER","70m","DECIDUOUS SHRUBS",154.69,"64","63.64","BLOWRIVER 70m",62.82172103,101.3000891,70.97393094,134.4539334
"BLOWRIVER","70m","FORBS",1.636,"0.01","1.7","BLOWRIVER 70m",1.376517758,1.341190226,0.832264502,1.965978205
"BLOWRIVER","70m","GRAMINOIDS",3.439,"8","34.19","BLOWRIVER 70m",7.347798932,17.51514049,15.31462413,22.1830582
"BLOWRIVER","90m","DECIDUOUS SHRUBS",62.029,"47","27.04","BLOWRIVER 90m",22.4116644,36.51649444,25.65402467,49.67596963
"BLOWRIVER","90m","EVERGREEN SHRUBS",6.921,"3","5.76","BLOWRIVER 90m",0.939274868,2.207936191,1.753311331,2.632356921
"BLOWRIVER","90m","FORBS",0,"0","1.89","BLOWRIVER 90m",1.150731433,0.826943694,0.74885085,1.49859395
"BLOWRIVER","90m","GRAMINOIDS",7.965,"25","64.14","BLOWRIVER 90m",10.52410481,23.86143669,18.96808645,28.49203076
"BROWNSCREEK","10m","EVERGREEN SHRUBS",27.001,"30","55.36","BROWNSCREEK 10m",5.387384058,7.688694078,5.256923413,10.68241718
"BROWNSCREEK","10m","GRAMINOIDS",0.454,"4","7.45","BROWNSCREEK 10m",0.841258899,0.891774204,0.507023336,1.300169414
"BROWNSCREEK","10m","LICHENS",14.738,"22","13.96","BROWNSCREEK 10m",0.6615066,1.122659163,0.795731032,1.454867126
"BROWNSCREEK","30m","EVERGREEN SHRUBS",22.456,"27","46.66","BROWNSCREEK 30m",5.273406481,7.80510376,5.433020979,10.60584734
"BROWNSCREEK","30m","GRAMINOIDS",0.962,"10","8.3","BROWNSCREEK 30m",2.075463402,2.03504605,1.249991151,3.447973465
"BROWNSCREEK","30m","LICHENS",9.705,"15","16.08","BROWNSCREEK 30m",0.351887042,0.765809633,0.471588545,0.878256291
"BROWNSCREEK","50m","DECIDUOUS SHRUBS",274.01,"85","91.73","BROWNSCREEK 50m",90.08731251,227.1492461,184.0202446,274.4803828
"BROWNSCREEK","70m","DECIDUOUS SHRUBS",91.419,"50","59.46","BROWNSCREEK 70m",37.1105733,91.20932264,73.07577794,110.3729218
"BROWNSCREEK","70m","EVERGREEN SHRUBS",3.921,"12","23.13","BROWNSCREEK 70m",7.637668391,12.86130942,9.746770405,16.92819001
"BROWNSCREEK","70m","GRAMINOIDS",1.731,"5","5.29","BROWNSCREEK 70m",2.927869856,2.432232972,1.198412955,4.150492806
