site_code,quadrat_num,species_code,cover_percent,PFT_fine,PFT_coarse,site_date,measurement_scale
AMSUMMIT,0m,MOSS,30,BRYOPHYTES,BRYOPHYTES,9/5/2018,0.25
AMSUMMIT,0m,SALRET,8,DECIDUOUS SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,0m,DRYAS,12,EVERGREEN SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,0m,LUPARC,0.01,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,0m,GRASS UNK,20,GRAMINOIDS,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,0m,FLACUC,0.01,LICHENS,LICHENS,9/5/2018,0.25
AMSUMMIT,0m,CAREX,20,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,0m,ERIOP,10,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,0m,SHRUB TOTAL,20,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,0m,LICHEN TOTAL,0.01,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,0m,GRAMINOID TOTAL,50,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,0m,FORB TOTAL,0.01,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,10m,MOSS,5,BRYOPHYTES,BRYOPHYTES,9/5/2018,0.25
AMSUMMIT,10m,DRYAS,0.01,EVERGREEN SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,10m,PEDIC,0.5,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,10m,OXYTR,0.5,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,10m,ANEMO,9,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,10m,GRASS UNK,8.5,GRAMINOIDS,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,10m,FLACUC,0.01,LICHENS,LICHENS,9/5/2018,0.25
AMSUMMIT,10m,CAREX,76.5,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,10m,SHRUB TOTAL,0.01,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,10m,LICHEN TOTAL,0.01,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,10m,GRAMINOID TOTAL,85,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,10m,FORB TOTAL,10,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,20m,MOSS,10,BRYOPHYTES,BRYOPHYTES,9/5/2018,0.25
AMSUMMIT,20m,EPIANG,2,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,20m,OXYTR,6,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,20m,POLYG,2,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,20m,POA,4,GRASSES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,20m,SEDGE,76,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,20m,SHRUB TOTAL,0,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,20m,LICHEN TOTAL,0,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,20m,GRAMINOID TOTAL,80,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,20m,FORB TOTAL,10,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,30m,MOSS,5,BRYOPHYTES,BRYOPHYTES,9/5/2018,0.25
AMSUMMIT,30m,EMPNIG,0.01,EVERGREEN SHRUBS,SHRUBS,9/5/2018,0.25
AMSUMMIT,30m,ANEMO,1.25,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,30m,FORB,1.25,FORBS,FORBS,9/5/2018,0.25
AMSUMMIT,30m,POA,4.625,GRASSES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,30m,CAREX,87.875,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,30m,SEDGE,0.01,SEDGES,GRAMINOIDS,9/5/2018,0.25
AMSUMMIT,30m,SHRUB TOTAL,0.01,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,30m,LICHEN TOTAL,0,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,30m,GRAMINOID TOTAL,92.5,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,30m,FORB TOTAL,2.5,TOTAL,TOTAL,9/5/2018,0.25
AMSUMMIT,40m,MOSS,5,BRYOPHYTES,BRYOPHYTES,9/5/2018,0.25
AMSUMMIT,40m,LUPARC,0.01,FORBS,FORBS,9/5/2018,0.25
