site_code,quadrat_num,PFT,summaryType,height
AMSUMMIT,0m,BRYOPHYTES,max,0.155000001
AMSUMMIT,0m,BRYOPHYTES,mean,0.022069767
AMSUMMIT,0m,DECIDUOUS SHRUBS,max,0.098999999
AMSUMMIT,0m,DECIDUOUS SHRUBS,mean,0.048621212
AMSUMMIT,0m,EVERGREEN SHRUBS,max,0.089000002
AMSUMMIT,0m,EVERGREEN SHRUBS,mean,0.066333333
AMSUMMIT,0m,FORBS,max,0.089000002
AMSUMMIT,0m,FORBS,mean,0.045565218
AMSUMMIT,0m,GRAMINOIDS,max,0.174999997
AMSUMMIT,0m,GRAMINOIDS,mean,0.050642032
AMSUMMIT,0m,NON VEGETATED,max,0.085000001
AMSUMMIT,0m,NON VEGETATED,mean,0.018727273
AMSUMMIT,10m,BRYOPHYTES,max,0.162
AMSUMMIT,10m,BRYOPHYTES,mean,0.034538461
AMSUMMIT,10m,DECIDUOUS SHRUBS,max,0.166999996
AMSUMMIT,10m,DECIDUOUS SHRUBS,mean,0.12772222
AMSUMMIT,10m,EVERGREEN SHRUBS,max,0.131999999
AMSUMMIT,10m,EVERGREEN SHRUBS,mean,0.093499999
AMSUMMIT,10m,FORBS,max,0.048
AMSUMMIT,10m,FORBS,mean,0.01775
AMSUMMIT,10m,GRAMINOIDS,max,0.31099999
AMSUMMIT,10m,GRAMINOIDS,mean,0.09185411
AMSUMMIT,10m,NON VEGETATED,max,0.264999986
AMSUMMIT,10m,NON VEGETATED,mean,0.138388889
AMSUMMIT,20m,BRYOPHYTES,max,0.162
AMSUMMIT,20m,BRYOPHYTES,mean,0.131999999
AMSUMMIT,20m,DECIDUOUS SHRUBS,max,0.234999999
AMSUMMIT,20m,DECIDUOUS SHRUBS,mean,0.196454544
AMSUMMIT,20m,EVERGREEN SHRUBS,max,0.104999997
AMSUMMIT,20m,EVERGREEN SHRUBS,mean,0.104999997
AMSUMMIT,20m,FORBS,max,0.187999994
AMSUMMIT,20m,FORBS,mean,0.097809523
AMSUMMIT,20m,GRAMINOIDS,max,0.324000001
AMSUMMIT,20m,GRAMINOIDS,mean,0.136650741
AMSUMMIT,20m,NON VEGETATED,max,0.165000007
AMSUMMIT,20m,NON VEGETATED,mean,0.061083335
AMSUMMIT,30m,BRYOPHYTES,max,0.077
AMSUMMIT,30m,BRYOPHYTES,mean,0.015166667
AMSUMMIT,30m,DECIDUOUS SHRUBS,max,0.264999986
AMSUMMIT,30m,DECIDUOUS SHRUBS,mean,0.122166666
AMSUMMIT,30m,GRAMINOIDS,max,0.282000005
AMSUMMIT,30m,GRAMINOIDS,mean,0.066392256
AMSUMMIT,30m,NON VEGETATED,max,0.232999995
AMSUMMIT,30m,NON VEGETATED,mean,0.022820513
AMSUMMIT,40m,BRYOPHYTES,max,0.028999999
AMSUMMIT,40m,BRYOPHYTES,mean,0.015777778
AMSUMMIT,40m,DECIDUOUS SHRUBS,max,0.059
AMSUMMIT,40m,DECIDUOUS SHRUBS,mean,0.03225
AMSUMMIT,40m,EVERGREEN SHRUBS,max,0.169
AMSUMMIT,40m,EVERGREEN SHRUBS,mean,0.131249998
AMSUMMIT,40m,FORBS,max,0.092
AMSUMMIT,40m,FORBS,mean,0.092
AMSUMMIT,40m,GRAMINOIDS,max,0.185000002
AMSUMMIT,40m,GRAMINOIDS,mean,0.082641838
AMSUMMIT,40m,NON VEGETATED,max,0.167999998
AMSUMMIT,40m,NON VEGETATED,mean,0.136800001
AMSUMMIT,50m,BRYOPHYTES,max,0.201000005
AMSUMMIT,50m,BRYOPHYTES,mean,0.00983691
AMSUMMIT,50m,DECIDUOUS SHRUBS,max,0.208000004
AMSUMMIT,50m,DECIDUOUS SHRUBS,mean,0.037725806
AMSUMMIT,50m,FORBS,max,0.147
AMSUMMIT,50m,FORBS,mean,0.0262
AMSUMMIT,50m,GRAMINOIDS,max,0.209000006
AMSUMMIT,50m,GRAMINOIDS,mean,0.034076024
AMSUMMIT,50m,NON VEGETATED,max,0.138999999
AMSUMMIT,50m,NON VEGETATED,mean,0.013116072
AMSUMMIT,60m,BRYOPHYTES,max,0.064000003
AMSUMMIT,60m,BRYOPHYTES,mean,0.031708333
AMSUMMIT,60m,DECIDUOUS SHRUBS,max,0.324999988
AMSUMMIT,60m,DECIDUOUS SHRUBS,mean,0.120498747
AMSUMMIT,60m,EVERGREEN SHRUBS,max,0.064999998
AMSUMMIT,60m,EVERGREEN SHRUBS,mean,0.064999998
AMSUMMIT,60m,FORBS,max,0.116999999
AMSUMMIT,60m,FORBS,mean,0.068666668
AMSUMMIT,60m,GRAMINOIDS,max,0.287
AMSUMMIT,60m,GRAMINOIDS,mean,0.122109948
AMSUMMIT,60m,NON VEGETATED,max,0.033
AMSUMMIT,60m,NON VEGETATED,mean,0.009571429
AMSUMMIT,70m,BRYOPHYTES,max,0.180000007
AMSUMMIT,70m,BRYOPHYTES,mean,0.09731579
AMSUMMIT,70m,DECIDUOUS SHRUBS,max,0.512000024
AMSUMMIT,70m,DECIDUOUS SHRUBS,mean,0.245064936
AMSUMMIT,70m,EVERGREEN SHRUBS,max,0.157000005
AMSUMMIT,70m,EVERGREEN SHRUBS,mean,0.157000005
AMSUMMIT,70m,FORBS,max,0.201000005
AMSUMMIT,70m,FORBS,mean,0.135852941
AMSUMMIT,70m,GRAMINOIDS,max,0.513999999
AMSUMMIT,70m,GRAMINOIDS,mean,0.227343433
AMSUMMIT,70m,NON VEGETATED,max,0.504000008
AMSUMMIT,70m,NON VEGETATED,mean,0.262551724
AMSUMMIT,80m,BRYOPHYTES,max,0.061999999
AMSUMMIT,80m,BRYOPHYTES,mean,0.017333333
AMSUMMIT,80m,DECIDUOUS SHRUBS,max,0.223000005
AMSUMMIT,80m,DECIDUOUS SHRUBS,mean,0.104435065
AMSUMMIT,80m,GRAMINOIDS,max,0.503000021
AMSUMMIT,80m,GRAMINOIDS,mean,0.094262163
AMSUMMIT,80m,NON VEGETATED,max,0.514999986
AMSUMMIT,80m,NON VEGETATED,mean,0.075833333
AMSUMMIT,90m,BRYOPHYTES,max,0.287
AMSUMMIT,90m,BRYOPHYTES,mean,0.118666668
AMSUMMIT,90m,DECIDUOUS SHRUBS,max,0.602999985
AMSUMMIT,90m,DECIDUOUS SHRUBS,mean,0.258439447
AMSUMMIT,90m,FORBS,max,0.068000004
AMSUMMIT,90m,FORBS,mean,0.024529412
AMSUMMIT,90m,GRAMINOIDS,max,0.635999978
AMSUMMIT,90m,GRAMINOIDS,mean,0.191006493
AMSUMMIT,90m,NON VEGETATED,max,0.078000002
AMSUMMIT,90m,NON VEGETATED,mean,0.024333333
AUFEIS,0m,BRYOPHYTES,max,0.088
AUFEIS,0m,BRYOPHYTES,mean,0.046923077
AUFEIS,0m,DECIDUOUS SHRUBS,max,0.123000003
AUFEIS,0m,DECIDUOUS SHRUBS,mean,0.056733334
AUFEIS,0m,EVERGREEN SHRUBS,max,0.128999993
